"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea","numGenesContained","propSignifDeGenes","overlapCancerBlock","cancerBlockSign"
"chr16",13187575,13461010,-0.131010146217857,1.70313190083213,663,170166,170178,13,417,0,0,0,0,1,0,TRUE,-1
"chr5",16711165,16792048,-0.112957131205911,1.69435696808866,254,61963,61977,15,106,0,0,0,0,3,1,TRUE,1
"chr3",48440844,48517026,0.105268718693802,1.68429949910083,113,41479,41508,16,1672,0,0,0,0,8,0.6,FALSE,NA
"chr10",77111738,77268489,-0.139755269949921,1.67706323939905,515,118607,118627,12,879,0,0,0,0,2,1,TRUE,-1
"chr10",73312955,73408185,-0.111712945106313,1.6756941765947,515,118155,118169,15,879,0,0,0,0,53,1,TRUE,-1
"chr16",72232102,72516874,-0.138180419771495,1.65816503725794,674,174433,174444,12,661,0,0,0,0,0,NA,FALSE,NA
"chr4",124443502,124657500,-0.137478802374994,1.64974562849992,218,57318,57329,12,288,0,0,0,0,2,0,TRUE,-1
"chr6",37391769,37521698,-0.117633189518563,1.64686465325988,314,76566,76594,14,2510,0,0,0,0,4,0.5,TRUE,-1
"chr2",205746734,206078242,-0.164042248581341,1.64042248581341,95,34467,34476,10,587,0,0,0,0,2,0,TRUE,1
"chr15",37294113,37379321,-0.149114412531125,1.64025853784237,652,161537,161547,11,637,0,0,0,0,3,1,TRUE,-1
"chr11",95015466,95289759,-0.125491897479303,1.63139466723094,544,133388,133400,13,263,0,0,0,0,0,NA,TRUE,-1
"chr2",176569429,177065957,-0.202977862226808,1.62382289781446,87,32965,33075,8,802,0,0,0,0,14,0.166666666666667,TRUE,-1
"chr11",46886932,47083081,-0.180271253883149,1.62244128494834,534,128481,128499,9,420,0,0,0,0,4,1,FALSE,NA
"chr5",72497825.5,72660351,-0.1348909088017,1.61869090562041,278,64176,64205,12,206,0,0,0,0,0,NA,TRUE,-1
"chr10",16410308,16741541.5,-0.177494040473377,1.59744636426039,494,114931,114947,9,587,0,0,0,0,3,1,TRUE,-1
"chr12",116756542,116881705,-0.114057604290895,1.59680646007252,580,145202,145215,14,2282,0,0,0,0,0,NA,TRUE,-1
"chr6",38230110,38461046,-0.122412921737769,1.591367982591,314,76682,76694,13,2510,0,0,0,0,2,0,TRUE,-1
"chr10",124152109,124274203,0.121449874863279,1.57884837322263,523,122446,122463,13,1054,0,0,0,0,7,0.666666666666667,TRUE,-1
"chr9",135301250,135432492,-0.121262231908821,1.57640901481468,492,111907,111924,13,878,0,0,0,0,1,0,TRUE,-1
"chr16",8780048,8862507.5,-0.196731208891396,1.57384967113117,663,169742,169749,8,417,0,0,0,0,3,1,TRUE,-1
"chr10",113484557,113759413,-0.196475443382783,1.57180354706226,521,121591,121598,8,330,0,0,0,0,0,NA,TRUE,-1
"chr16",73322583.5,73539979,-0.156654308544795,1.56654308544795,674,174528,174537,10,661,0,0,0,0,0,NA,TRUE,-1
"chr6",21761572,21886458,-0.119540718251588,1.55402933727065,313,73654,73666,13,189,0,0,0,0,1,1,TRUE,-1
"chr9",98210236,98389082,-0.140791591674477,1.54870750841925,480,109636,109661,11,440,0,0,0,0,2,1,TRUE,-1
"chr1",58393137,58555364,-0.171791356027645,1.5461222042488,6,8908,8916,9,562,0,0,0,0,2,1,TRUE,-1
"chr12",89346059,89492300,-0.109567169596291,1.53394037434808,578,143034,143047,14,93,0,0,0,0,0,NA,FALSE,NA
"chr5",121518272,121759771,-0.109477370100268,1.53268318140375,300,66383,66402,14,188,0,0,0,0,2,1,TRUE,-1
"chr2",174454320,174625146,-0.138907399678585,1.52798139646444,87,32799,32809,11,802,0,0,0,0,0,NA,TRUE,-1
"chr13",60052169,60265198,-0.137821008713143,1.51603109584457,590,150547,150557,11,95,0,0,0,0,1,1,TRUE,-1
"chr17",19044873,19207476,0.167919658070269,1.51127692263242,677,180048,180062,9,1418,0,0,0,0,4,1,FALSE,NA
"chr1",22535491,22647529,-0.136827655683867,1.50510421252253,3,4544,4559,11,1530,0,0,0,0,0,NA,TRUE,-1
"chr14",23938561,24014501,-0.115129851784058,1.49668807319275,622,153883,153895,13,407,0,0,0,0,3,0.666666666666667,FALSE,NA
"chr2",22504250,23023791,-0.213549313224486,1.4948451925714,53,23136,23142,7,509,0,0,0,0,0,NA,TRUE,-1
"chr5",139252771,139365336,-0.213011623974972,1.4910813678248,305,67783,67794,7,182,0,0,0,0,4,1,TRUE,-1
"chr11",34256703,34363786,-0.114621328940463,1.49007727622601,528,127650,127662,13,346,0,0,0,0,1,0,TRUE,-1
"chr15",31694117,31948632,0.165268071233219,1.48741264109897,652,161195,161218,9,637,0,0,0,0,3,1,TRUE,-1
"chr4",77318054,77484566,-0.123720205691233,1.48464246829479,198,55231,55246,12,290,0,0,0,0,2,0.5,TRUE,-1
"chr7",7726202,7874409,-0.123481158555161,1.48177390266193,348,86513,86524,12,649,0,0,0,0,3,1,TRUE,-1
"chr1",90967211,91307020,-0.184276141210998,1.47420912968798,16,10498,10530,8,321,0,0,0,0,1,0,TRUE,1
"chr3",73976278,74337905,-0.24394751779544,1.46368510677264,114,43681,43686,6,310,0,0,0,0,2,1,TRUE,-1
"chr10",122897859,123141777,-0.162406617867389,1.4616595608065,523,122334,122342,9,1054,0,0,0,0,0,NA,TRUE,-1
"chr5",87692697,87880065,-0.181684909931499,1.453479279452,283,65030,65037,8,40,0,0,0,0,1,1,TRUE,-1
"chr12",124600474.5,124702277.5,-0.120881286086441,1.4505754330373,580,146206,146217,12,2282,0,0,0,0,0,NA,TRUE,-1
"chr14",56424872,56616059,-0.144959960886151,1.44959960886151,636,155404,155417,10,524,0,0,0,0,1,1,TRUE,-1
"chr9",128719060,128819969,-0.289011883561051,1.44505941780525,492,111015,111021,5,878,0,0,0,0,4,1,TRUE,-1
"chr2",173078588,173215253,-0.119830683127755,1.43796819753306,87,32670,32685,12,802,0,0,0,0,0,NA,TRUE,1
"chr6",163809690,163951256,0.110165894612266,1.43215662995946,346,83478,83490,13,1469,0,0,0,0,4,1,TRUE,-1
"chr4",186758663,186879260,-0.11890347943375,1.426841753205,249,59925,59936,12,525,0,0,0,0,6,1,TRUE,-1
"chr14",56958335,57269996,-0.158193131447493,1.42373818302743,636,155437,155457,9,524,0,0,0,0,3,0.5,TRUE,1
"chr3",60065489,60388836,-0.177270403412181,1.41816322729745,113,42775,42782,8,1672,0,0,0,0,1,1,TRUE,-1
"chr12",107699855,107836508,-0.157568432343244,1.4181158910892,580,144210,144221,9,2282,0,0,0,0,1,1,TRUE,-1
"chr3",31952278,32086860,-0.128628877958165,1.41491765753981,110,40058,40073,11,284,0,0,0,0,3,0,FALSE,NA
"chr7",148105849,148303238,-0.128596546116178,1.41456200727795,379,95729,95739,11,357,0,0,0,0,2,0.5,TRUE,-1
"chr3",59136006,59560961,-0.156472215245728,1.40824993721155,113,42745,42753,9,1672,0,0,0,0,0,NA,TRUE,-1
"chr14",64341178,64527660,-0.156233890142097,1.40610501127887,638,155935,155943,9,242,0,0,0,0,54,1,FALSE,NA
"chr11",46576948,46709238,0.108111291957631,1.4054467954492,534,128429,128450,13,420,0,0,0,0,7,0.75,FALSE,NA
"chr8",101969546.5,102083111,-0.127639742815862,1.40403717097449,407,104095,104105,11,784,0,0,0,0,0,NA,FALSE,NA
"chr2",121224106.5,121352659,-0.107945921667878,1.40329698168241,78,29853,29880,13,262,0,0,0,0,0,NA,TRUE,-1
"chr11",44134238,44308190,-0.107940310934613,1.40322404214997,534,128055,128067,13,420,0,0,0,0,4,1,TRUE,-1
"chr6",138785415,138866995,-0.11654472029938,1.39853664359256,344,81698,81709,12,947,0,0,0,0,2,1,TRUE,-1
"chr5",107162110,107333404,-0.126760305802478,1.39436336382726,296,65745,65755,11,383,0,0,0,0,1,1,TRUE,-1
"chr15",67560312,67706106,-0.173890945352242,1.39112756281794,659,164223,164230,8,1437,0,0,0,0,3,0,FALSE,NA
"chr11",85601106,85772935,0.1256471878458,1.3821190663038,540,132857,132872,11,181,0,0,0,0,2,0,TRUE,-1
"chr14",68917215,68988704,-0.105684171739956,1.37389423261943,640,156270,156282,13,801,0,0,0,0,5,1,TRUE,-1
"chr4",85220283,85308929,-0.195856936577474,1.37099855604232,200,55714,55720,7,240,0,0,0,0,0,NA,TRUE,-1
"chr2",66589902,66743837,-0.124465470518993,1.36912017570892,62,26258,26286,11,881,0,0,0,0,2,0,TRUE,-1
"chr7",133531244,133712546,-0.124359811995037,1.36795793194541,376,94757,94767,11,941,0,0,0,0,1,1,FALSE,NA
"chr11",15685551,15822333,-0.136641253198616,1.36641253198616,524,126575,126584,10,1541,0,0,0,0,0,NA,TRUE,-1
"chr11",126414507,126507786,-0.123884083983015,1.36272492381317,551,135814,135824,11,1679,0,0,0,0,1,1,TRUE,-1
"chr1",204588141,204719449,-0.151102270547733,1.3599204349296,46,17515,17528,9,921,0,0,0,0,3,1,TRUE,-1
"chr5",77280597,77313271,-0.150307608353463,1.35276847518117,279,64566,64574,9,358,0,0,0,0,3,1,FALSE,NA
"chr6",123099534,123193050,-0.167802009225053,1.34241607380043,344,80786,80797,8,947,0,0,0,0,2,0.5,TRUE,-1
"chr3",178738564,178893304,0.148863949952023,1.33977554956821,156,48876,48892,9,1076,0,0,0,0,4,1,TRUE,1
"chr5",3024946,3128306.5,-0.102984659835798,1.33880057786537,250,61161,61173,13,409,0,0,0,0,0,NA,TRUE,-1
"chr1",107886561,108123232,-0.148750917017137,1.33875825315424,24,11176,11188,9,573,0,0,0,0,1,1,TRUE,-1
"chr13",111736279,111854118,0.111022804455997,1.33227365347196,619,152393,152413,12,595,0,0,0,0,6,0,TRUE,1
"chr3",164907027,164915196,-0.189537232567224,1.32676062797057,152,48238,48244,7,12,0,0,0,0,1,1,FALSE,NA
"chr2",235210313,235332274,-0.110551523581738,1.32661828298086,102,36680,36691,12,1067,0,0,0,0,0,NA,TRUE,-1
"chr1",48931095,49085506,-0.188683740783445,1.32078618548412,4,8109,8118,7,781,0,0,0,0,2,0.5,TRUE,-1
"chr1",28832469,28996248,0.11000490892046,1.32005890704552,3,5572,5609,12,1530,0,0,0,0,15,0.9,FALSE,NA
"chr9",1871778,2024387,-0.26208678706317,1.31043393531585,422,107452,107461,5,23,0,0,0,0,3,1,TRUE,1
"chr6",41419370,41520488,-0.131012710999818,1.31012710999818,314,76952,76976,10,2510,0,0,0,0,1,0,TRUE,-1
"chr12",105803653,105956437.5,-0.130540290432856,1.30540290432856,580,144059,144068,10,2282,0,0,0,0,0,NA,TRUE,-1
"chr17",41613916,41739550.5,-0.118485758321454,1.303343341536,678,182845,182865,11,1362,0,0,0,0,4,0,TRUE,-1
"chr3",193830418,193982761,-0.108398510520504,1.30078212624605,157,50052,50079,12,394,0,0,0,0,1,1,TRUE,-1
"chr12",27658169,27768965,0.117343101022831,1.29077411125114,556,138988,138998,11,391,0,0,0,0,19,1,TRUE,1
"chr3",24887420,25133700,-0.214929735198248,1.28957841118949,108,39767,39772,6,122,0,0,0,0,0,NA,TRUE,-1
"chr17",70172535,70304177,-0.116025100540383,1.27627610594421,685,185841,185851,11,1275,0,0,0,0,0,NA,FALSE,NA
"chr5",97833812,97992865,-0.126352577896975,1.26352577896975,287,65524,65533,10,41,0,0,0,0,0,NA,TRUE,-1
"chr2",160007430,160176473,0.126318904219116,1.26318904219116,86,31917,31930,10,283,0,0,0,0,5,1,TRUE,1
"chr8",127381566,127592341,-0.105242316163548,1.26290779396257,416,105344,105360,12,1023,0,0,0,0,1,1,TRUE,-1
"chr1",57917333,58126625,-0.14011723284432,1.26105509559888,6,8892,8900,9,562,0,0,0,0,2,1,TRUE,-1
"chr5",4206669,4321970,-0.157251916745084,1.25801533396067,250,61268,61275,8,409,0,0,0,0,0,NA,TRUE,-1
"chr2",6589760,6819650,-0.138882823997521,1.24994541597769,49,22012,22024,9,873,0,0,0,0,0,NA,TRUE,-1
"chr2",214027718,214154452,-0.154841622549113,1.2387329803929,97,34928,34939,8,26,0,0,0,0,2,0,TRUE,-1
"chr2",82508075,82553670,-0.410697562508635,1.23209268752591,67,27379,27381,3,10,0,0,0,0,0,NA,TRUE,-1
"chr15",30049198,30164845,0.1226153436946,1.226153436946,652,161040,161055,10,637,0,0,0,0,3,1,TRUE,-1
"chr9",135608341,135733616,-0.121526673557368,1.21526673557368,492,111948,111960,10,878,0,0,0,0,1,1,TRUE,-1
"chr16",50402645,50533237,-0.13479353448432,1.21314181035888,671,172534,172545,9,502,0,0,0,0,2,1,TRUE,-1
"chr6",19664434,19790362,-0.151586908557422,1.21269526845937,313,73507,73519,8,189,0,0,0,0,0,NA,TRUE,-1
"chr19",31640521.5,31873757,-0.242340532184239,1.21170266092119,784,196499,196512,5,9,0,0,0,0,3,1,TRUE,-1
"chr5",55881858,55977468,-0.120939843743261,1.20939843743261,271,63397,63406,10,361,0,0,0,0,1,0,TRUE,-1
"chr12",108715309,108851556,-0.120661576354094,1.20661576354094,580,144295,144304,10,2282,0,0,0,0,1,0,TRUE,-1
"chr3",31207056,31404497,-0.133592280740322,1.20233052666289,110,40015,40023,9,284,0,0,0,0,0,NA,FALSE,NA
"chr11",30409857,30567189,-0.133026729775555,1.19724056798,528,127347,127355,9,346,0,0,0,0,1,1,TRUE,-1
"chr4",139593196,139697169,-0.132618252359328,1.19356427123396,228,57696,57704,9,226,0,0,0,0,0,NA,TRUE,-1
"chr11",31672091,31885698,-0.148611065423418,1.18888852338734,528,127397,127428,8,346,0,0,0,0,4,0.666666666666667,TRUE,-1
"chr14",54392087,54553150,-0.148403126340243,1.18722501072194,636,155183,155204,8,524,0,0,0,0,3,1,TRUE,-1
"chr11",65180133,65258811,0.10791607896256,1.18707686858816,538,130322,130350,11,1752,0,0,0,0,2,1,FALSE,NA
"chr11",78948859,79042806,-0.117890887822876,1.17890887822876,538,132646,132655,10,1752,0,0,0,0,2,1,TRUE,-1
"chr1",21300625,21437982,0.146441555226137,1.1715324418091,3,4336,4343,8,1530,0,0,0,0,3,1,FALSE,NA
"chr2",55203963,55289155,0.116965389416298,1.16965389416298,61,25590,25603,10,210,0,0,0,0,6,1,TRUE,-1
"chr3",159429667,159590447,0.128278962171149,1.15451065954034,147,48078,48091,9,113,0,0,0,0,0,NA,TRUE,-1
"chr2",47716307,47828743,-0.104850611035058,1.15335672138564,60,25248,25267,11,497,0,0,0,0,2,0.5,TRUE,-1
"chr9",137118148,137207506,-0.115188921034879,1.15188921034879,492,112250,112259,10,878,0,0,0,0,0,NA,TRUE,-1
"chr11",127208447,127547963,-0.143969052651361,1.15175242121088,551,135879,135886,8,1679,0,0,0,0,0,NA,TRUE,-1
"chr5",130847962,130978176,0.143899401352373,1.15119521081899,304,66847,66859,8,322,0,0,0,0,5,0.5,FALSE,NA
"chr12",41721310,41860791,-0.163371704585013,1.14360193209509,560,139544,139550,7,118,0,0,0,0,1,0,TRUE,-1
"chr6",107367103,107472234,-0.163361343503614,1.1435294045253,341,79894,79911,7,473,0,0,0,0,2,0,TRUE,-1
"chr16",65063803,65123152,0.113817817278921,1.13817817278921,674,173427,173436,10,661,0,0,0,0,2,1,TRUE,-1
"chr6",20929282,21111090,-0.11370230246039,1.1370230246039,313,73598,73607,10,189,0,0,0,0,1,1,TRUE,-1
"chr10",80331643,80418378,-0.113515527744001,1.13515527744001,515,118878,118887,10,879,0,0,0,0,1,0,TRUE,-1
"chr3",23710303,23818150,-0.126123101283625,1.13510791155262,108,39684,39692,9,122,0,0,0,0,0,NA,TRUE,-1
"chr9",119000864,119254997,-0.125869483148532,1.13282534833679,490,110526,110534,9,32,0,0,0,0,3,0,TRUE,-1
"chr1",57142074,57297710,-0.125260449435944,1.1273440449235,6,8845,8853,9,562,0,0,0,0,2,0,TRUE,-1
"chr20",3896885,4146747,0.185490989818092,1.11294593890855,792,202253,202268,6,18,0,0,0,0,7,1,TRUE,-1
"chr2",100217960,100298107,-0.111096664588165,1.11096664588165,74,28412,28421,10,361,0,0,0,0,2,1,TRUE,-1
"chr4",153788518,153884312,-0.123096531124593,1.10786878012134,231,58446,58458,9,195,0,0,0,0,2,1,FALSE,NA
"chr7",51323496,51404134,0.122472936958833,1.1022564326295,354,89436,89449,9,1610,0,0,0,0,2,1,TRUE,-1
"chr12",16756662,16940870,-0.157215740198034,1.10051018138624,552,138491,138497,7,1117,0,0,0,0,3,1,TRUE,-1
"chr1",168940137,169187004,0.183362982590013,1.10017789554008,33,15325,15335,6,1584,0,0,0,0,4,1,TRUE,-1
"chr13",94725495,94840865,-0.219851632253187,1.09925816126593,615,151298,151302,5,117,0,0,0,0,1,1,TRUE,-1
"chr2",72311587,72363781,-0.137367283967255,1.09893827173804,62,26797,26804,8,881,0,0,0,0,1,1,TRUE,-1
"chr16",65800351,65970442,-0.122017781431403,1.09816003288262,674,173477,173485,9,661,0,0,0,0,0,NA,TRUE,-1
"chr10",103002111,103213706,-0.137054624481339,1.09643699585071,518,120816,120840,8,1034,0,0,0,0,3,0,TRUE,-1
