"","meanDiff","tstat","pval","qval","bonf","meanControl","nearestGene","nearestRefseq","nearestGeneDist","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Entrez","subjectHits"
"cg20138264",-0.0334787511415314,-7.14081696227916,1.11627703992108e-11,2.72484600148993e-07,5.09594980325491e-06,0.134946175125703,"MYCBPAP","NM_032133",105,"MYCBPAP","NM_032133","promoter","promoter",105,NA,NA,NA,19,NA,"+",23117,22882,"84073",53913
"cg03917887",-0.0166879277202415,-7.13817686299135,1.13407666437338e-11,2.72484600148993e-07,5.17720740283087e-06,0.0948070177033781,"PTRH1","NM_001002913",0,"PTRH1","NM_001002913","inside exon","inside",9043,"inside exon",0,2,6,"5' UTR","-",10925,1539,"138428",7944
"cg15064873",-0.015381010365279,-7.116968548938,1.28758840397316e-11,2.84145686165033e-07,5.87800845063e-06,0.0816645112455552,"TXNDC9","NM_005783",0,"TXNDC9","NM_005783","inside intron","inside",4149,"inside intron",1763,2,6,"inside transcription region","-",34077,31562,"10190",1494
"cg11610702",-0.0363380009313886,-7.11097201922735,1.33458982954311e-11,2.84145686165033e-07,6.09257606854216e-06,0.105376272328515,"RALA","NM_005402",-25504,"RALA","NM_005402","downstream","downstream",110075,NA,NA,NA,5,NA,"+",84571,19577,"5898",41515
"cg01344808",-0.0244024416775572,-7.10667115154816,1.36933780541425e-11,2.84145686165033e-07,6.25120509563073e-06,0.261852258136731,"SKOR1","NM_001031807",0,"SKOR1","NM_001031807","inside exon","inside",5120,"inside exon",0,4,15,"inside transcription region","+",14132,14132,"390598",27083
"cg24758019",-0.0139738264061262,-7.09321803738862,1.48388755365587e-11,2.85689925254237e-07,6.77413958782104e-06,0.0959168490816594,"RNF123","NM_022064",28,"RNF123","NM_022064","promoter","promoter",28,NA,NA,NA,39,NA,"+",32012,30139,"63891",43063
"cg20821095",-0.0160020343572048,-7.09119159085979,1.50194150135959e-11,2.85689925254237e-07,6.8565582061017e-06,0.0894034891426297,"FADD","NM_003824",153,"FADD","NM_003824","promoter","promoter",153,NA,NA,NA,2,NA,"+",4239,3013,"8772",56601
"cg16618003",-0.0118312000716604,-7.0838771851016,1.56892571216277e-11,2.86493993454626e-07,7.16234983636564e-06,0.0780355606828631,"JAK1","NM_002227",0,"JAK1","NM_002227","inside intron","inside",127,"inside intron",71,1,26,"5' UTR","-",133713,51702,"3716",25845
"cg01116966",-0.0279714845597569,-7.04208455674646,2.01206767440435e-11,3.47456807307153e-07,9.18535050245353e-06,0.0967658520414068,"TCF7","NM_001134851",385,"TCF7","NM_001134851","promoter","promoter",385,NA,NA,NA,10,NA,"+",33518,31396,"6932",46478
"cg03771185",-0.0248182953253197,-7.03227713635813,2.13274504978553e-11,3.47456807307153e-07,9.73625840912742e-06,0.104180467138916,"LOC100129917","NR_036511",-64,"LOC100129917","NR_036511","promoter","promoter",64,NA,NA,NA,1,NA,"-",1699,404,"100129917",150
"cg05598064",-0.014336746501624,-7.03189240022,2.13762170424216e-11,3.47456807307153e-07,9.75852097068701e-06,0.0928507943266248,"RRAGC","NM_001271851",0,"RRAGC","NM_001271851","inside intron","inside",941,"inside intron",41,2,12,"5' UTR","-",36297,25086,"64121",43428
"cg21146272",-0.0255491119914369,-7.01804733639897,2.32061509791083e-11,3.47456807307153e-07,1.05939096019257e-05,0.0717507395305591,"C6orf226","NM_001008739",-162,"C6orf226","NM_001008739","promoter","promoter",162,NA,NA,NA,1,NA,"-",551,305,"441150",29237
"cg11646757",-0.0183541909998303,-7.01621697977432,2.34593417740774e-11,3.47456807307153e-07,1.07094944913094e-05,0.0816697115866698,"HILPDA","NM_001098786",185,"HILPDA","NM_001098786","promoter","promoter",185,NA,NA,NA,2,NA,"+",2588,191,"29923",22812
"cg22818383",-0.0136863079903707,-7.01524839778717,2.35944234370582e-11,3.47456807307153e-07,1.07711610265217e-05,0.0793454910642088,"ERGIC3","NM_015966",0,"ERGIC3","NM_015966","inside intron","inside",194,"inside intron",-37,1,13,"inside transcription region","+",15627,15428,"51614",32992
"cg11200644",-0.0151155616780711,-7.00938793151241,2.44282395351631e-11,3.48494028591122e-07,1.11518089149159e-05,0.074152767046289,"CNDP1","NM_032649",-12757,"CNDP1","NM_032649","downstream","downstream",63326,NA,NA,NA,12,NA,"+",50569,49895,"84735",55059
"cg02989600",-0.0207725640810862,-6.98964700672822,2.74562207380682e-11,3.59553640725467e-07,1.25341216977977e-05,0.107142135370134,"DDIT4L","NM_145244",0,"DDIT4L","NM_145244","inside exon","inside",38,"inside exon",0,1,3,"5' UTR","-",4628,2306,"115265",5455
"cg25367318",-0.0224767978123683,-6.98456218421187,2.82942398816071e-11,3.59553640725467e-07,1.29166883310721e-05,0.124654417923976,"HEBP2","NM_014320",125,"HEBP2","NM_014320","promoter","promoter",125,NA,NA,NA,4,NA,"+",9246,8582,"23593",17040
"cg27284088",-0.012753180231824,-6.98229569452196,2.86758449440046e-11,3.59553640725467e-07,1.30908960029224e-05,0.080415856319546,"PLAC8","NM_001130715",0,"PLAC8","NM_001130715","inside intron","inside",4781,"inside intron",-2026,2,4,"5' UTR","-",20604,13234,"51316",32275
"cg06867829",-0.0305949172353064,-6.9816239889909,2.87899094510508e-11,3.59553640725467e-07,1.31429679332276e-05,0.0889207238673906,"SOX5","NM_001261414",-125,"SOX5","NM_001261414","promoter","promoter",125,NA,NA,NA,18,NA,"-",1030152,361804,"6660",45656
"cg14642696",-0.0209730677079849,-6.96835995732759,3.11360898571659e-11,3.59553640725467e-07,1.42140297889644e-05,0.165921154242741,"LMX1B","NM_001174146",0,"LMX1B","NM_001174146","inside intron","inside",9949,"inside intron",-8822,2,8,"inside transcription region","+",86589,82001,"4010",27616
"cg17972606",-0.00901446534308293,-6.96503618480228,3.17529152746484e-11,3.59553640725467e-07,1.44956186107755e-05,0.0862451780153742,"ZNF317","NM_001190791",0,"ZNF317","NM_001190791","inside intron","inside",381,"inside intron",-168,1,6,"5' UTR","+",23035,5416,"57693",40669
"cg04122790",-0.0264059689406394,-6.95419950342969,3.38487530494786e-11,3.59553640725467e-07,1.54523958008766e-05,0.091740049994593,"URB2","NM_014777",0,"URB2","NM_014777","inside intron","inside",167,"inside intron",-44,1,10,"5' UTR","+",33965,31663,"9816",61093
"cg05647005",-0.0190748731709213,-6.95198587713815,3.4293336461365e-11,3.59553640725467e-07,1.56553539079871e-05,0.0945093665329873,"TMEM68","NM_001286657",0,"TMEM68","NM_001286657","inside intron","inside",387,"inside intron",329,1,3,"5' UTR","-",12553,407,"137695",7873
"cg10581445",-0.0131030647816555,-6.94944169295384,3.4811414320477e-11,3.59553640725467e-07,1.58918631856839e-05,0.0882865335359581,"SHC4","NM_203349",0,"SHC4","NM_203349","inside intron","inside",85320,"inside intron",-5981,5,12,"inside transcription region","-",139707,137044,"399694",27449
"cg23263923",-0.0312035146854147,-6.94850507706592,3.50040740194375e-11,3.59553640725467e-07,1.59798148428355e-05,0.135410801315965,"CD70","NM_001252",-41,"CD70","NM_001252","promoter","promoter",41,NA,NA,NA,4,NA,"-",8028,7702,"970",60703
"cg12393716",-0.0276972897227207,-6.94813041517811,3.50814347587449e-11,3.59553640725467e-07,1.60151310260189e-05,0.094106068943993,"HNRNPUL2","NM_001079559",-192,"HNRNPUL2","NM_001079559","promoter","promoter",192,NA,NA,NA,14,NA,"-",14760,11857,"221092",13890
"cg05267963",-0.018886601560531,-6.94812404357734,3.50827518311171e-11,3.59553640725467e-07,1.60157322866788e-05,0.085905086433593,"STIP1","NM_001282652",696,"STIP1","NM_001282652","promoter","promoter",696,NA,NA,NA,5,NA,"+",9761,9590,"10963",3791
"cg10675120",-0.00924851664023465,-6.9428979691259,3.61795952702526e-11,3.59553640725467e-07,1.65164555756088e-05,0.0938323193100893,"FUT11","NM_001284194",0,"FUT11","NM_001284194","inside exon","inside",455,"inside exon",0,1,3,"inside transcription region","+",3927,3351,"170384",11249
"cg14314029",-0.0187845338379923,-6.9426615585431,3.62300032493521e-11,3.59553640725467e-07,1.65394674733715e-05,0.114407452055342,"CADPS2","NM_001009571",1835,"CADPS2","NM_001009571","downstream","downstream",305128,NA,NA,NA,23,NA,"-",303293,301519,"93664",59419
"cg02809263",-0.0104634791942486,-6.93438360796813,3.80393251989749e-11,3.69477584352333e-07,1.73654464645596e-05,0.082189990856138,"LRRC40","NM_017768",0,"LRRC40","NM_017768","inside exon","inside",143,"inside exon",0,1,15,"inside transcription region","-",60876,59740,"55631",37238
"cg07924874",-0.0223787199222523,-6.92173519977813,4.09770521049231e-11,3.8324480738092e-07,1.87065569875748e-05,0.0687654202407249,"ZSCAN18","NM_001145542",0,"ZSCAN18","NM_001145542","inside intron","inside",20000,"inside intron",-8039,2,7,"inside transcription region","-",34584,33711,"65982",45391
"cg02114786",-0.0105868755082827,-6.91583245867911,4.24233980849513e-11,3.8324480738092e-07,1.93668327299554e-05,0.0732357299958012,"PTTG1IP","NM_001286822",0,"PTTG1IP","NM_001286822","inside exon","inside",146,"inside exon",0,1,3,"5' UTR","-",23287,22249,"754",48586
"cg25978167",-0.013091916192145,-6.91317583087285,4.30906413455383e-11,3.8324480738092e-07,1.96714379525757e-05,0.0770381721068172,"PPAT","NM_002703",0,"PPAT","NM_002703","inside intron","inside",449,"inside intron",162,1,11,"inside transcription region","-",42273,40125,"5471",34839
"cg21739289",-0.0196897802870841,-6.91156924476264,4.3499156594734e-11,3.8324480738092e-07,1.98579304745318e-05,0.112072990628231,"EHD1","NM_001282444",0,"EHD1","NM_001282444","inside intron","inside",1186,"inside intron",-3,2,6,"inside transcription region","-",26941,25297,"10938",3730
"cg18928687",-0.0263373250506132,-6.90685106017357,4.47210436798604e-11,3.8324480738092e-07,2.04157378134241e-05,0.0852366317841592,"DCUN1D5","NM_032299",0,"DCUN1D5","NM_032299","inside exon","inside",82,"inside exon",0,1,8,"5' UTR","-",41531,29513,"84259",54254
"cg05002071",-0.00996865572835777,-6.90601438679149,4.49412201518396e-11,3.8324480738092e-07,2.05162512351767e-05,0.0753242496764858,"TSKU","NM_001258210",-1125,"TSKU","NM_001258210","downstream","downstream",16966,NA,NA,NA,2,NA,"+",15841,1061,"25987",18827
"cg23897067",-0.0158971308727984,-6.90365641049872,4.55674963097029e-11,3.8324480738092e-07,2.08021544428314e-05,0.0727162587008758,"NDOR1","NM_001144026",0,"NDOR1","NM_001144026","inside exon","inside",186,"inside exon",0,1,14,"inside transcription region","+",13694,10638,"27158",20328
"cg23187205",-0.0285810941566535,-6.90140767743152,4.61727582915505e-11,3.8324480738092e-07,2.10784644059506e-05,0.0921689302875983,"CEP57L1","NM_001083535",111,"CEP57L1","NM_001083535","promoter","promoter",111,NA,NA,NA,7,NA,"+",60772,10667,"285753",21797
"cg24309730",-0.0172699054048383,-6.89588441639068,4.76931783596316e-11,3.88795641651616e-07,2.17725559324905e-05,0.102785074796026,"RARS","NM_002887",165,"RARS","NM_002887","promoter","promoter",165,NA,NA,NA,15,NA,"+",32846,32691,"5917",41600
"cg23434193",-0.0320054066911708,-6.88134274382007,5.1935831032489e-11,4.15954070739204e-07,2.37093820321346e-05,0.0968160258673741,"TCEB1","NM_001204857",-230,"TCEB1","NM_001204857","promoter","promoter",230,NA,NA,NA,4,NA,"-",27149,13138,"6921",46421
"cg00877964",-0.0143393677708186,-6.87497561125893,5.39084599089771e-11,4.23188322919345e-07,2.46099127584268e-05,0.0764881971220024,"SLC1A4","NM_001135581",0,"SLC1A4","NM_001135581","inside exon","inside",59,"inside exon",0,1,7,"5' UTR","+",35421,10522,"6509",44804
"cg26582784",-0.0136623491531671,-6.87250654053713,5.46930997632956e-11,4.23188322919345e-07,2.49681110522414e-05,0.079707022182961,"CDK6","NM_001145306",0,"CDK6","NM_001145306","inside intron","inside",599,"inside intron",449,1,8,"5' UTR","-",231706,218183,"1021",1561
"cg24792749",-0.0173898232594761,-6.86277860257555,5.78954047112505e-11,4.34379247569353e-07,2.64300048909471e-05,0.0957138955397782,"ANKRD27","NM_032139",-21,"ANKRD27","NM_032139","promoter","promoter",21,NA,NA,NA,29,NA,"-",78195,60870,"84079",53925
"cg07990749",-0.0238568787111007,-6.85947458648462,5.90244767560908e-11,4.34379247569353e-07,2.69454409573533e-05,0.152140733842662,"GPRIN2","NM_014696",-7748,"GPRIN2","NM_014696","downstream","downstream",14770,NA,NA,NA,3,NA,"+",7022,1376,"9721",60779
"cg06730721",-0.00590025633874827,-6.85273809555193,6.1394075324774e-11,4.34379247569353e-07,2.80271935087386e-05,0.0581260027661247,"ABCA7","NM_019112",271,"ABCA7","NM_019112","promoter","promoter",271,NA,NA,NA,6,NA,"+",2641,1212,"10347",1993
"cg11317019",-0.0215971339988573,-6.84361616351562,6.47525785553885e-11,4.34379247569353e-07,2.95603938940561e-05,0.0941515045159039,"C17orf53","NM_001171251",24,"C17orf53","NM_001171251","promoter","promoter",24,NA,NA,NA,10,NA,"+",20570,19789,"78995",49445
"cg02909257",-0.0149591911932682,-6.84227379433919,6.52618355814922e-11,4.34379247569353e-07,2.97928763468138e-05,0.12595416162297,"IGF2BP3","NM_006547",-3875,"IGF2BP3","NM_006547","upstream","upstream",3875,NA,NA,NA,15,NA,"-",160167,157748,"10643",2919
"cg21785260",-0.0139321264398726,-6.83502128396553,6.80821664420755e-11,4.34379247569353e-07,3.10803940489712e-05,0.079876818720465,"CNPPD1","NM_015680",0,"CNPPD1","NM_015680","inside intron","inside",636,"inside intron",323,1,9,"5' UTR","-",6113,4242,"27013",20038
"cg08990198",-0.0268904589041333,-6.83501751664263,6.80836621884891e-11,4.34379247569353e-07,3.10810768766537e-05,0.0926883316648584,"PPP1R12B","NM_001167857",0,"PPP1R12B","NM_001167857","inside exon","inside",365,"inside exon",0,1,24,"inside transcription region","+",239867,231708,"4660",29822
"cg19010396",-0.0284106098034793,-6.83451395213269,6.82838845629673e-11,4.34379247569353e-07,3.11724809934939e-05,0.0791932168472595,"SUGP1","NM_021164",-63,"SUGP1","NM_021164","promoter","promoter",63,NA,NA,NA,14,NA,"-",43999,43848,"57794",40853
"cg02577203",-0.0203779366933277,-6.82951523887471,7.03031152504831e-11,4.34379247569353e-07,3.20942860523438e-05,0.0832056417893127,"NUP160","NM_015231",0,"NUP160","NM_015231","inside exon","inside",252,"inside exon",0,1,3,"inside transcription region","-",9004,8192,"23279",16083
"cg01159149",-0.0108677772650501,-6.82795132316143,7.09468431794631e-11,4.34379247569353e-07,3.23881562203862e-05,0.0891500600363363,"EIF4G2","NM_001042559",-388,"EIF4G2","NM_001042559","promoter","promoter",388,NA,NA,NA,22,NA,"-",11989,6166,"1982",12392
"cg10897648",-0.0176700875425619,-6.82401045041395,7.2594792552268e-11,4.34379247569353e-07,3.31404665324135e-05,0.0821768824679666,"MALT1","NM_006785",360,"MALT1","NM_006785","promoter","promoter",360,NA,NA,NA,17,NA,"+",78752,76198,"10892",3572
"cg02759005",-0.0165790449732425,-6.8226756114252,7.31614754320929e-11,4.34379247569353e-07,3.3399164633931e-05,0.092467085214483,"SELK","NM_021237",0,"SELK","NM_021237","inside exon","inside",77,"inside exon",0,1,5,"5' UTR","-",6763,6230,"58515",41307
"cg09639622",-0.0184957406520388,-6.82115451466059,7.38125384640668e-11,4.34379247569353e-07,3.36963833718465e-05,0.0828951699895797,"LOC440461","NR_027283",0,"LOC440461","NR_027283","inside exon","inside",506,"inside exon",0,1,1,"inside transcription region","+",1642,758,"440461",29166
"cg12831148",-0.0114201180037371,-6.82071672237602,7.40009775211442e-11,4.34379247569353e-07,3.37824082511101e-05,0.0626873993412394,"FBXO30","NM_032145",-172,"FBXO30","NM_032145","promoter","promoter",172,NA,NA,NA,3,NA,"-",16649,6299,"84085",53940
"cg05340395",-0.0166744015377805,-6.81850425107609,7.49605573850765e-11,4.34379247569353e-07,3.42204689335334e-05,0.107039398248056,"PDGFRA","NM_006206",0,"PDGFRA","NM_006206","inside intron","inside",686928,"inside intron",210343,13,24,"inside transcription region","+",920592,917433,"5156",32843
"cg25428293",-0.0107777550277313,-6.8170129314016,7.5614260929869e-11,4.34379247569353e-07,3.45188930998773e-05,0.0783234544290489,"TIGD6","NM_001243253",0,"TIGD6","NM_001243253","inside exon","inside",513,"inside exon",0,1,2,"5' UTR","-",8044,1565,"81789",52804
"cg16515820",-0.0287132895035995,-6.81699626538795,7.56215978955534e-11,4.34379247569353e-07,3.45222425200928e-05,0.119826028796917,"ZBTB20","NM_001164342",-320,"ZBTB20","NM_001164342","promoter","promoter",320,NA,NA,NA,10,NA,"-",809180,12853,"26137",19235
"cg23434459",-0.0109501606945211,-6.81475526430657,7.66145723273824e-11,4.34379247569353e-07,3.49755482568903e-05,0.0984709333112614,"BCAP29","NM_001008405",0,"BCAP29","NM_001008405","inside exon","inside",161,"inside exon",0,1,7,"5' UTR","+",43340,24319,"55973",38274
"cg23106864",-0.0180675798291101,-6.81379525620007,7.70438612776201e-11,4.34379247569353e-07,3.51715242434302e-05,0.0737354270933445,"SASS6","NM_001304829",0,"SASS6","NM_001304829","inside exon","inside",133,"inside exon",0,1,16,"5' UTR","-",49409,35113,"163786",10872
"cg04240267",-0.0160979287997623,-6.81299851032151,7.74019405101761e-11,4.34379247569353e-07,3.5334992068122e-05,0.0964553431732155,"STARD13","NM_001243466",0,"STARD13","NM_001243466","inside intron","inside",134061,"inside intron",-18361,4,18,"5' UTR","-",573660,418674,"90627",57829
"cg15854668",-0.0178615778670385,-6.81281427032588,7.74849758037758e-11,4.34379247569353e-07,3.53728987591091e-05,0.0885946454115263,"UMPS","NM_000373",0,"UMPS","NM_000373","inside exon","inside",219,"inside exon",0,1,3,"5' UTR","+",18906,6292,"7372",48078
"cg21701531",-0.0210975655495191,-6.81155066606882,7.80568376002112e-11,4.34379247569353e-07,3.56339611033852e-05,0.0810142452949767,"ZEB2","NM_001171653",0,"ZEB2","NM_001171653","inside intron","inside",123,"inside intron",26,1,3,"inside transcription region","-",6370,3982,"9839",61166
"cg05053688",-0.0366966458643372,-6.8066230010758,8.03268660640745e-11,4.34379247569353e-07,3.66702586075088e-05,0.090840405814267,"S1PR1","NM_001400",0,"S1PR1","NM_001400","inside intron","inside",285,"inside intron",-196,1,2,"5' UTR","+",4617,1148,"1901",12092
"cg06498398",-0.0256482284235046,-6.80652273981755,8.03737212919328e-11,4.34379247569353e-07,3.66916486281441e-05,0.0904486016391496,"NEIL2","NM_001135746",0,"NEIL2","NM_001135746","inside intron","inside",308,"inside intron",-179,1,5,"5' UTR","+",17682,14825,"252969",17546
"cg10796979",-0.0163252112695094,-6.80560797890975,8.08024615896294e-11,4.34379247569353e-07,3.68873741476665e-05,0.0967483802461611,"LMBRD1","NM_018368",0,"LMBRD1","NM_018368","inside exon","inside",51,"inside exon",0,1,16,"5' UTR","-",121408,120723,"55788",37830
"cg04281649",-0.0218478062004434,-6.80544554634479,8.08788272040336e-11,4.34379247569353e-07,3.6922236043395e-05,0.0819252355071606,"TMEM131","NM_015348",-322,"TMEM131","NM_015348","promoter","promoter",322,NA,NA,NA,41,NA,"-",239553,238563,"23505",16755
"cg19586645",-0.015522238741896,-6.79837724586934,8.42715767511019e-11,4.43131205659569e-07,3.84710703173758e-05,0.0876669656776968,"MIF4GD","NM_001242498",0,"MIF4GD","NM_001242498","inside intron","inside",669,"inside intron",-315,2,6,"5' UTR","-",5001,3455,"57409",39958
"cg21211866",-0.0315044187155024,-6.79801380122516,8.44497635168824e-11,4.43131205659569e-07,3.85524148923825e-05,0.0886605249096304,"FAM214B","NM_025182",0,"FAM214B","NM_025182","inside intron","inside",4148,"inside intron",-2992,2,8,"5' UTR","-",10196,2590,"80256",51829
"cg04574383",-0.0216935943408535,-6.78467788815673,9.12506759237362e-11,4.48897272969003e-07,4.16571198179726e-05,0.108495021167787,"TTC7A","NM_001288951",0,"TTC7A","NM_001288951","inside intron","inside",713,"inside intron",-161,1,19,"5' UTR","+",134962,78726,"57217",39807
"cg15211655",-0.0115792750475357,-6.78408037571083,9.15676845483493e-11,4.48897272969003e-07,4.18018383762206e-05,0.0690144294324199,"OSBPL1A","NM_001242508",0,"OSBPL1A","NM_001242508","inside intron","inside",493,"inside intron",278,1,28,"5' UTR","-",235822,214354,"114876",5336
"cg17692591",-0.00993160512817444,-6.78110660635574,9.31615957944098e-11,4.48897272969003e-07,4.25294795808934e-05,0.0630545448360085,"DTNB","NM_001256303",-223,"DTNB","NM_001256303","promoter","promoter",223,NA,NA,NA,21,NA,"-",296449,273341,"1838",11962
"cg16275967",-0.0150742558328449,-6.78058777390746,9.34424678378691e-11,4.48897272969003e-07,4.26577013200691e-05,0.0745819222789879,"NDUFS2","NM_001166159",0,"NDUFS2","NM_001166159","inside exon","inside",318,"inside exon",0,1,13,"5' UTR","+",12247,10446,"4720",30006
"cg17543885",-0.0292731655473375,-6.77880524409726,9.44138100745957e-11,4.48897272969003e-07,4.31011316785839e-05,0.104472564302218,"AKAP12","NM_005100",0,"AKAP12","NM_005100","inside intron","inside",920,"inside intron",-569,1,4,"inside transcription region","+",118185,113177,"9590",60254
"cg03563403",-0.0103930728969237,-6.77829486761413,9.46937507681719e-11,4.48897272969003e-07,4.32289282444305e-05,0.0798884291451942,"FANCG","NM_004629",0,"FANCG","NM_004629","inside exon","inside",16,"inside exon",0,1,11,"5' UTR","-",4436,4057,"2189",13556
"cg26063106",-0.0120016529731665,-6.77772262998094,9.50085933053369e-11,4.48897272969003e-07,4.33726579555992e-05,0.0958231745382467,"FREM2","NM_207361",0,"FREM2","NM_207361","inside exon","inside",623,"inside exon",0,1,24,"inside transcription region","+",200094,193442,"341640",24797
"cg24517768",-0.00990303714394426,-6.77767514924705,9.50347632100658e-11,4.48897272969003e-07,4.33846048573168e-05,0.094224974888776,"HNRNPU","NM_004501",-185,"HNRNPU","NM_004501","promoter","promoter",185,NA,NA,NA,14,NA,"-",14225,9857,"3192",24045
"cg16625216",-0.0125971328045896,-6.77625839319124,9.5818906191746e-11,4.48897272969003e-07,4.37425763223125e-05,0.0593941699862764,"TMEM175","NM_001297423",0,"TMEM175","NM_001297423","inside intron","inside",76,"inside intron",-9,1,11,"5' UTR","+",26181,6805,"84286",54336
"cg05052335",-0.0191243987923943,-6.77358142968488,9.73179604394926e-11,4.48897272969003e-07,4.44269140741141e-05,0.0748113255744363,"RAPGEF6","NM_001164386",0,"RAPGEF6","NM_001164386","inside exon","inside",272,"inside exon",0,1,18,"inside transcription region","-",171621,170993,"51735",33211
"cg23147149",-0.0118375459850816,-6.77214457508962,9.81320653137535e-11,4.48897272969003e-07,4.47985635325775e-05,0.0795759541954826,"MNT","NM_020310",-70,"MNT","NM_020310","promoter","promoter",70,NA,NA,NA,6,NA,"-",16904,13811,"4335",28884
