"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Entrez","subjectHits","corrToExprs","corrToExprsTstat","corrToExprsPvalue","corrToExprsPvalueBonf"
"chr10",119291766,119294720,-0.211637661047967,4.23275322095934,27637,257422,257441,20,36,0,0,0,0,"EMX2","NM_001165924","upstream","upstream",7236,NA,NA,NA,3,NA,"+",7101,4964,"2018",12811,-0.617696127113969,-12.3444155601507,1.30640358206778e-27,8.47464003687366e-24
"chr8",145103393,145107199,-0.247286464109036,4.20386988985361,187890,229150,229166,17,17,0,0,0,0,"OPLAH","NM_017570","overlaps 3'","overlaps 3'",8385,"covers exon(s)",0,24,28,"overlaps 3'UTR","-",9417,8708,"26873",19908,0.0135932570068772,0.213654543219241,0.830992006143511,1
"chr1",161007634,161008977,-0.343606498623359,4.1232779834803,13448,32284,32295,12,16,0,0,0,0,"F11R","NM_016946","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,10,"overlaps 5' UTR","-",43773,40084,"50848",31346,0.631844287082239,12.8116011562791,3.53541513903822e-29,2.29342380069409e-25
"chr17",7757543,7759140,-0.196124902216577,4.11862294654811,79396,380823,380843,21,29,0,0,0,0,"TMEM88","NM_203411","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,2,2,"overlaps 3'UTR","+",1033,639,"92162",58681,0.486305129568175,8.74683077561258,3.41030125858005e-16,2.21226242644088e-12
"chr17",77922738,77925317,-0.23410406527848,3.97976910973416,87093,399988,400004,17,17,0,0,0,0,"TBC1D16","NM_001271844","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,4,7,"overlaps 5' UTR","-",7004,6668,"125058",6630,-0.0734299264832549,-1.15716579028378,0.248317959946682,1
"chr6",133561368,133562056,-0.219750251065055,3.95550451917099,163695,174244,174261,18,41,0,0,0,0,"EYA4","NM_001301012","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,19,"5' UTR","+",291522,254024,"2070",13207,-0.686841788855953,-14.8520399851323,3.98492507425203e-36,2.58502089566729e-32
"chr4",1202509,1203653,0.219614426211376,3.95305967180477,136002,104163,104180,18,18,0,0,0,0,"SPON2","NM_001128325","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,8,"5' UTR","-",42029,4599,"10417",2193,0.490654335775589,8.84971606432294,1.69604146370962e-16,1.10022209750843e-12
"chr7",5534548,5535934,0.281430504751512,3.94002706652117,168267,185762,185775,14,15,0,0,0,0,"FBXL18","NM_024963","covers exon(s)","inside",17465,"covers exon(s)",0,4,5,"inside transcription region","-",24590,23867,"80028",51464,-0.134063148883325,-2.12616107188487,0.0344779358732587,1
"chr11",68919873,68920771,-0.49093854942004,3.92750839536032,36073,280005,280012,8,8,0,0,0,0,"TPCN2","NM_139075","downstream","downstream",103523,NA,NA,NA,25,NA,"+",41722,38955,"219931",13713,-0.716490782203684,-16.1419037894814,1.49045506126077e-40,9.66858198239863e-37
"chr14",21269744,21271355,0.391309044029192,3.91309044029192,56308,326581,326590,10,10,0,0,0,0,"RNASE1","NM_002933","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,2,2,"overlaps 5' UTR","-",1521,470,"6035",42038,-0.357270399940797,-6.01171208764533,6.52691435271235e-09,4.2340093406045e-05
"chr17",40337411,40337892,-0.555006922293938,3.88504845605757,82795,389010,389016,7,7,0,0,0,0,"HCRT","NM_001524","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,2,"5' UTR","-",1392,1211,"3060",23124,-0.863264641449316,-26.8791011372643,1.96379468270861e-75,1.27391361067308e-71
"chr20",61446962,61447749,-0.153930107728248,3.84825269320621,118464,442969,442993,25,44,0,0,0,0,"COL9A3","NM_001853","promoter","promoter",665,NA,NA,NA,32,NA,"+",24097,23667,"1299",7227,0.0300707648369952,0.472812985207823,0.636762453700761,1
"chr5",37835168,37836392,-0.319342922133139,3.83211506559766,146772,127958,127969,12,19,0,0,0,0,"GDNF","NM_000514","inside intron","inside",3390,"inside intron",-243,2,3,"5' UTR","-",27003,19145,"2668",19797,-0.28492837719591,-4.67164624759508,4.90244143531794e-06,0.0318021375909075
"chr10",72200789,72202215,-0.29127304369191,3.78654956799482,23990,249261,249273,13,18,0,0,0,0,"NODAL","NM_018055","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,3,"overlaps 5' UTR","-",9773,8731,"4838",30429,0.273889368283924,4.47565288149038,1.16181059425672e-05,0.0753666532494334
"chr8",38831332,38832728,-0.416341930269054,3.74707737242148,182133,216990,216998,9,10,0,0,0,0,"PLEKHA2","NM_021623","overlaps 3'","overlaps 3'",72579,"overlaps exon downstream",0,11,11,"3'UTR","+",72677,33750,"59339",41692,0.564660246709902,10.7525507862044,2.19540980693391e-22,1.42416234175802e-18
"chr16",85464599,85465657,-0.415932715994499,3.74339444395049,76459,372668,372676,9,11,0,0,0,0,"GSE1","NM_001134473","upstream","upstream",179372,NA,NA,NA,15,NA,"+",64783,23901,"23199",15772,0.542089109568398,10.1385054243766,1.96333249092515e-20,1.27361378686314e-16
"chr6",30882641,30885344,0.154527298971776,3.70865517532262,158121,156426,156449,24,70,0,0,0,0,"VARS2","NM_001167733","covers exon(s)","inside",54,"covers exon(s)",0,1,29,"inside transcription region","+",11648,11373,"57176",39670,0.215829001953801,3.47389463256888,0.000605212581540762,1
"chr7",134832221,134833166,0.368197425697251,3.68197425697251,176354,203601,203610,10,10,0,0,0,0,"C7orf49","NM_001243749","inside intron","inside",22412,"inside intron",20334,2,3,"inside transcription region","-",78461,74558,"78996",49448,0.737611615313133,17.1683107363317,4.53878968865556e-44,2.94431287103086e-40
"chr5",92929319,92932481,-0.215466729165546,3.66293439581429,149161,133022,133038,17,17,0,0,0,0,"NR2F1","NM_005654","overlaps 3'","overlaps 3'",8589,"overlaps exon downstream",0,4,4,"overlaps 3'UTR","+",9056,8818,"7025",46700,0.297379180351592,4.89513943998262,1.77112873540796e-06,0.0114893121065914
"chr11",2890019,2891118,-0.114416349875067,3.66132319600215,30595,266247,266278,32,42,0,0,0,0,"CDKN1C","NM_000076","downstream","downstream",15877,NA,NA,NA,3,NA,"-",2547,1485,"1028",1770,-0.261679846431207,-4.26110080350197,2.89129193507923e-05,0.18755810782859
"chr3",13082751,13083974,-0.405796018210907,3.65216416389817,124925,80553,80561,9,9,0,0,0,0,"IQSEC1","NM_001134382","inside intron","inside",30643,"inside intron",30517,1,15,"inside transcription region","-",176075,172032,"9922",61527,0.603649437929977,11.8997769168366,3.94156621010419e-26,2.55689400049459e-22
"chr1",151810485,151812710,-0.260664091858214,3.649297286015,12171,29002,29015,14,14,0,0,0,0,"C2CD4D","NM_001136003","overlaps two exons","inside",323,"overlaps two exons",0,2,2,"overlaps 5' UTR","-",2694,1061,"100191040",371,NA,NA,NA,NA
"chr2",63283355,63285950,-0.191530569825812,3.63908082669043,103952,54589,54607,19,41,0,0,0,0,"OTX1","NM_001199770","overlaps 3'","overlaps 3'",5418,"overlaps exon downstream",0,5,5,"overlaps 3'UTR","+",7029,2168,"5013",30965,0.155992389733899,2.4819968109726,0.0137278362700789,1
"chr1",3028230,3029070,-0.360447372270114,3.60447372270114,1040,3124,3133,10,10,0,0,0,0,"PRDM16","NM_022114","inside intron","inside",42488,"inside intron",-42369,1,17,"5' UTR","+",369443,29059,"63976",43256,-0.555478210519483,-10.4987359116644,1.42331618911753e-21,9.23305211880539e-18
"chr4",151500192,151501739,-0.448644686208853,3.58915748967082,142726,118842,118849,8,8,0,0,0,0,"LRBA","NM_001199282","inside intron","inside",434910,"inside intron",7460,41,58,"inside transcription region","-",750838,748920,"987",61299,0.746893461814981,17.6531512703934,1.00452218345505e-45,6.51633540407293e-42
"chr1",3128175,3129969,-0.358224658358063,3.58224658358063,1088,3309,3318,10,10,0,0,0,0,"PRDM16","NM_022114","inside intron","inside",142433,"inside intron",-25136,2,17,"5' UTR","+",369443,29059,"63976",43256,-0.509625901058612,-9.30896801567141,7.15277302437114e-18,4.64000386090956e-14
"chr11",64135650,64136263,-0.325077482106396,3.57585230317036,34953,276628,276638,11,12,0,0,0,0,"RPS6KA4","NM_001006944","covers exon(s)","inside",9025,"covers exon(s)",0,10,17,"inside transcription region","+",13062,11255,"8986",57322,0.553252917776703,10.4380707983173,2.21965007904548e-21,1.4398870062768e-17
"chr2",25473529,25475916,-0.28712090020721,3.44545080248652,101566,49590,49601,12,12,0,0,0,0,"DNMT3A","NM_022552","inside intron","inside",89543,"inside intron",-2407,7,23,"inside transcription region","-",109629,79705,"1788",11787,-0.732273898365943,-16.8992874373385,3.77730874808188e-43,2.45034018488071e-39
"chr15",101418967,101419333,-0.280106214955746,3.36127457946895,69087,355117,355128,12,17,0,0,0,0,"ALDH1A3","NM_000693","promoter","promoter",676,NA,NA,NA,13,NA,"+",36821,34865,"220",13743,-0.155544882997546,-2.47469972462719,0.01400442144291,1
"chr2",10566553,10567843,-0.335632618758678,3.35632618758678,100660,47761,47770,10,10,0,0,0,0,"HPCAL1","NM_001258357","overlaps 3'","overlaps 3'",57663,"covers exon(s)",0,5,5,"overlaps 3'UTR","+",58853,7063,"3241",24149,-0.820266270436048,-22.5382958973724,5.84611201324403e-62,3.7923728629914e-58
"chr16",88717134,88717989,-0.231350686130639,3.23890960582895,77339,374940,374953,14,14,0,0,0,0,"CYBA","NM_000101","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,4,"overlaps 5' UTR","-",4780,4262,"1535",9929,0.463997428982477,8.23209658629424,1.05382803070132e-14,6.83618243515949e-11
"chr17",41363597,41364121,-0.323753936969323,3.23753936969323,82982,389661,389670,10,11,0,0,0,0,"NBR1","NM_001291571","overlaps 3'","overlaps 3'",40351,"overlaps exon downstream",0,18,18,"3'UTR","+",40461,34116,"4077",27992,-0.602770353865305,-11.8725466239328,4.85109091194428e-26,3.14690267457825e-22
"chr10",77164747,77166684,-0.269076746149273,3.22892095379128,24533,250435,250446,12,13,0,0,0,0,"ZNF503","NM_032772","upstream","upstream",3234,NA,NA,NA,2,NA,"-",3910,2670,"84858",55194,0.776829635399786,19.38800422916,1.3532163547699e-51,8.77831449339231e-48
"chr16",68269041,68270882,-0.268784964908898,3.22541957890678,74937,369439,369450,12,15,0,0,0,0,"ESRP2","NM_024939","overlaps 5'","overlaps 5'",0,"inside intron",495,2,15,"overlaps 5' UTR","-",7686,5819,"80004",51391,0.216489527379256,3.48504811850106,0.000581672976671331,1
"chr16",56701868,56703833,-0.229959542400925,3.21943359361295,74118,367462,367475,14,14,0,0,0,0,"MT1H","NM_005951","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,3,"overlaps 5' UTR","+",1315,1104,"4496",29469,NA,NA,NA,NA
"chr17",62777298,62778413,-0.229903673390603,3.21865142746844,85243,395440,395453,14,14,0,0,0,0,"LOC146880","NR_026899","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,2,3,"5' UTR","-",3365,850,"146880",8953,0.823251291524805,22.7918463193603,8.96845573389793e-63,5.81783723457959e-59
"chr2",27529325,27531535,-0.169164625384695,3.21412788230921,101835,50283,50301,19,19,0,0,0,0,"UCN","NM_003353","covers","covers",0,"covers exon(s)",NA,NA,2,NA,"-",865,374,"7349",48023,-0.185114008110441,-2.96046048761983,0.00336954342422467,1
"chr16",66612955,66613582,-0.267081129880519,3.20497355856623,74641,368508,368519,12,13,0,0,0,0,"CMTM2","NM_001199317","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,3,"overlaps 5' UTR","+",8826,8511,"146225",8836,0.40747199063753,7.01248450761778,2.21333637631166e-11,1.43579130731337e-07
"chr1",92952440,92953256,-0.265006185821859,3.18007422986231,9897,23485,23496,12,25,0,0,0,0,"GFI1","NM_001127215","promoter","promoter",7,NA,NA,NA,7,NA,"-",12115,7458,"2672",19849,0.284813281308306,4.66959252235882,4.94769106780458e-06,0.0320956719568483
"chr6",41528345,41529269,-0.395061381646739,3.16049105317391,159764,165744,165751,8,8,0,0,0,0,"FOXP4","NM_001012426","inside intron","inside",14181,"inside intron",4213,2,17,"5' UTR","+",55958,33175,"116113",5609,-0.00836780829280268,-0.131515034666599,0.895474522287147,1
"chr14",61121516,61123667,-0.31508706856895,3.1508706856895,58317,331367,331376,10,15,0,0,0,0,"SIX1","NM_005982","upstream","upstream",5361,NA,NA,NA,2,NA,"-",4738,2906,"6495",44660,-0.514963104612484,-9.44139516604429,2.83127031198899e-18,1.83664505138726e-14
"chr6",32013699,32014739,-0.173312443711536,3.11962398680765,158413,159438,159455,18,66,0,0,0,0,"TNXB","NM_019105","covers exon(s)","inside",62412,"covers exon(s)",0,31,44,"inside transcription region","-",68219,56849,"7148",47093,-0.821682812054907,-22.6579020718218,2.41219271792221e-62,1.56478941611614e-58
"chr19",46142212,46142914,-0.258909700262365,3.10691640314838,97055,427174,427185,12,13,0,0,0,0,"EML2","NM_001193268","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,2,11,"overlaps 5' UTR","-",18605,18433,"24139",17370,-0.314133249003196,-5.20023303702385,4.16590611757347e-07,0.00270242329846991
"chr20",3218145,3218794,-0.310222901551319,3.10222901551319,115608,435123,435132,10,11,0,0,0,0,"SLC4A11","NM_001174089","covers exon(s)","inside",1093,"covers exon(s)",0,2,20,"inside transcription region","-",11824,11350,"83959",53772,-0.0174181642234063,-0.27378947459048,0.784474303877712,1
"chr12",123214864,123215684,0.257429006369621,3.08914807643545,49393,310237,310248,12,13,0,0,0,0,"HCAR1","NM_032554","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,1,"overlaps 5' UTR","-",2976,1040,"27198",20414,0.036857978485811,0.579662474200826,0.562668460203979,1
"chr13",101173617,101174420,-0.384887500126684,3.07910000101347,54725,322349,322356,8,8,0,0,0,0,"PCCA","NM_000282","inside intron","inside",432348,"inside intron",5508,22,23,"inside transcription region","+",441422,441045,"5095",31464,-0.274119945585563,-4.47972675704032,1.14148983239654e-05,0.0740484454275637
"chr13",50706583,50707753,-0.341175967380886,3.07058370642797,53191,319291,319299,9,12,0,0,0,0,"ST13P4","NM_153290","upstream","upstream",38401,NA,NA,NA,1,NA,"+",1597,722,"145165",8652,NA,NA,NA,NA
"chr11",1319648,1321954,0.219127452244967,3.06778433142953,30116,264531,264544,14,15,0,0,0,0,"TOLLIP","NM_019009","inside intron","inside",8938,"inside intron",-2623,2,5,"inside transcription region","-",35294,32459,"54472",34435,-0.290858302094732,-4.77775794806991,3.03692566670752e-06,0.0197005367999317
"chr1",25257505,25258332,-0.145352013448652,3.05239228242169,4699,11318,11338,21,33,0,0,0,0,"RUNX3","NM_001031680","inside intron","inside",33280,"inside intron",-1161,3,3,"inside transcription region","-",35534,34984,"864",56241,-0.557871610234662,-10.5643481448245,8.79264329764318e-22,5.70378770718113e-18
"chr1",119531857,119532925,-0.203109773598127,3.04664660397191,11325,26847,26861,15,17,0,0,0,0,"TBX15","NM_152380","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,8,"5' UTR","-",106513,46987,"6913",46395,-0.160363644011249,-2.55335804922947,0.0112684699937311,1
"chr3",185911208,185912486,-0.335389415825358,3.01850474242822,134598,100852,100860,9,9,0,0,0,0,"DGKG","NM_001080744","inside intron","inside",167537,"inside intron",-5039,20,23,"inside transcription region","-",215033,170369,"1608",10523,-0.587488438410855,-11.4097059715209,1.62103437755476e-24,1.05156500071977e-20
"chr6",31590513,31591559,0.167262132292642,3.01071838126755,158272,157572,157589,18,27,0,0,0,0,"PRRC2A","NM_004638","overlaps two exons","inside",2063,"overlaps two exons",0,2,31,"overlaps 5' UTR","+",17104,14796,"7916",49748,-0.157740973628547,-2.51052444763637,0.012692550559923,1
"chr13",112609986,112610918,-0.333483919026066,3.0013552712346,55440,323922,323930,9,13,0,0,0,0,"SOX1","NM_005986","upstream","upstream",110995,NA,NA,NA,1,NA,"+",4107,1175,"6656",45648,-0.521335563770406,-9.60147021595607,9.1634864077464e-19,5.94435363270509e-15
"chr3",123813232,123813596,0.332031052005483,2.98827946804934,130939,93033,93041,9,10,0,0,0,0,"KALRN","NM_001024660","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,60,"5' UTR","+",626478,624632,"8997",57421,-0.621961459474465,-12.4831344029709,4.48636203610737e-28,2.91030305282285e-24
"chr14",24808422,24809759,-0.265072229708504,2.91579452679354,56812,327966,327976,11,12,0,0,0,0,"RIPK3","NM_006871","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,3,3,"overlaps 5' UTR","-",1990,886,"11035",3987,-0.0812571849787857,-1.28129392907094,0.20128719798988,1
"chr17",72931569,72932048,-0.242940421886151,2.91528506263382,86039,397098,397109,12,12,0,0,0,0,"OTOP3","NM_001272005","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,7,"overlaps 5' UTR","+",14190,13614,"347741",25120,0.490081495320673,8.83611550287904,1.86054027125472e-16,1.20693247396294e-12
"chr2",63274476,63276268,-0.193655682598026,2.90483523897039,103951,54519,54533,15,53,0,0,0,0,"LOC100132215","NR_027069","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,4,"5' UTR","-",4556,455,"100132215",244,NA,NA,NA,NA
"chr1",214158149,214159610,-0.322114429911761,2.89902986920585,16919,39642,39650,9,9,0,0,0,0,"PROX1","NM_001270616","promoter","promoter",1668,NA,NA,NA,5,NA,"+",53569,39298,"5629",38647,-0.325444687660536,-5.40923781684103,1.48919578057661e-07,0.000966041302860044
"chr1",36038468,36039885,-0.262386210748315,2.88624831823146,6031,14677,14687,11,11,0,0,0,0,"PSMB2","NM_001199779","inside exon","inside",67560,"inside exon",0,7,7,"3'UTR","-",72032,64095,"5690",39027,0.16784202428304,2.67580367485107,0.00795163929311518,1
"chr6",30922489,30923865,-0.151008445883946,2.86916047179498,158136,156504,156522,19,23,0,0,0,0,"DPCR1","NM_080870","downstream","downstream",13712,NA,NA,NA,3,NA,"+",13221,12117,"135656",7773,0.420512243173386,7.2842106810147,4.2906672684937e-12,2.78335585707186e-08
"chr17",77765514,77767485,-0.285877583363205,2.85877583363205,87036,399797,399806,10,12,0,0,0,0,"CBX8","NM_020649","downstream","downstream",3430,NA,NA,NA,5,NA,"-",2739,2363,"57332",39884,-0.0993856963814923,-1.56974063414303,0.117750436674462,1
"chr8",42234614,42234975,-0.404608657025051,2.83226059917536,182384,217519,217525,7,8,0,0,0,0,"DKK4","NM_014420","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,4,"5' UTR","-",3088,2945,"27121",20241,-0.202478624692353,-3.24950949575514,0.00131600238770455,1
"chr11",67141422,67143062,-0.235069414858097,2.82083297829717,35688,278899,278910,12,16,0,0,0,0,"CLCF1","NM_001166212","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,3,"5' UTR","-",10009,2476,"23529",16834,-0.290299692357019,-4.76773664830578,3.17853956048878e-06,0.0206191861288907
"chr2",121223534,121224327,-0.350326096745648,2.80260877396518,107510,62393,62400,8,10,0,0,0,0,"LINC01101","NM_032845","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,1,"overlaps 5' UTR","-",2014,611,"84931",55390,NA,NA,NA,NA
"chr11",2920052,2920735,0.231066113631075,2.7727933635729,30601,266335,266346,12,19,0,0,0,0,"SLC22A18AS","NM_001302862","overlaps exon downstream","inside",4440,"overlaps exon downstream",0,3,4,"inside transcription region","-",15848,11521,"5003",30950,-0.354022053326498,-5.94917957882861,9.1284455740201e-09,5.92162264386684e-05
"chr2",162271412,162273011,-0.212388041645612,2.76104454139296,109575,66281,66293,13,26,0,0,0,0,"TBR1","NM_006593","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,6,"overlaps 5' UTR","+",8953,7816,"10716",3116,0.580675062602283,11.2094681100528,7.30462065777139e-24,4.7385074206963e-20
"chr12",124246391,124247223,-0.344812190238163,2.75849752190531,49564,310707,310714,8,8,0,0,0,0,"DNAH10","NM_207437","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,78,"overlaps 5' UTR","+",173225,172961,"196385",12251,0.679800936219451,14.5677103106619,3.75716572151694e-35,2.43727340354804e-31
"chr12",123756945,123758062,-0.275126530112345,2.75126530112345,49501,310532,310541,10,15,0,0,0,0,"CDK2AP1","NM_001270433","promoter","promoter",258,NA,NA,NA,4,NA,"-",11170,9882,"8099",52423,-0.705714602521162,-15.6545302579057,7.01960494010035e-39,4.5536177246431e-35
